date,campaign_name,landing_page_views,initiate_checkout
2026-04-30,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,8,
2026-04-30,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,1,
2026-04-30,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,12,
2026-04-30,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,37,
2026-04-30,ASUC-(NEW)-PERF-RTG-WARM-ROW,141,
2026-04-30,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,27,
2026-04-30,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,31,
2026-04-30,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,47,
2026-04-30,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,13,
2026-04-30,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,4,
2026-04-30,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,5,
2026-04-30,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,96,
2026-04-30,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,91,1
2026-05-01,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,304,17
2026-05-01,ASUC-(ALL)-PERF-KIDS-INTER,435,23
2026-05-01,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,340,26
2026-05-01,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,51,1
2026-05-01,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,45,
2026-05-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,374,
2026-05-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,310,
2026-05-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,267,16
2026-05-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,378,17
2026-05-01,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,116,
2026-05-01,ASUC-(HISTO)-UK-(UK)-PERF-RTG,194,
2026-05-01,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,27,
2026-05-01,ASUC-(HISTO)-US-(US)-PERF-RTG,140,1
2026-05-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,14,
2026-05-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,15,
2026-05-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,79,
2026-05-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,79,
2026-05-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,133,
2026-05-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,58,
2026-05-01,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,30,
2026-05-01,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,22,1
2026-05-01,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,363,
2026-05-01,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,312,
2026-05-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,177,
2026-05-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,63,
2026-05-01,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,222,
2026-05-01,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,201,
